epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,23.402,0.77359,1.1685,1.66224,0.05587,0.99965,1,0.995,0.90009,0.41758,0.46982,0.96384,0.03752,0.000658228,0.000658228,0.000658228
2,46.5649,0.5376,0.52854,1.23812,0.02293,0.99934,1,0.995,0.90783,0.43032,0.37868,0.92894,0.06127,0.00131178,0.00131178,0.00131178
3,69.7547,0.51454,0.46396,1.15159,0.02402,0.99966,1,0.995,0.98351,0.2609,0.27253,0.90516,0.00965,0.00195213,0.00195213,0.00195213
4,92.8617,0.49258,0.43853,1.13827,0.01904,0.99934,1,0.995,0.97091,0.25136,0.24834,0.89939,0.00634,0.0019406,0.0019406,0.0019406
5,115.922,0.48428,0.41289,1.13377,0.01993,0.99977,1,0.995,0.97852,0.28104,0.22687,0.88759,0.01582,0.0019208,0.0019208,0.0019208
6,138.987,0.44631,0.38681,1.09348,0.01949,0.99858,1,0.995,0.96955,0.22774,0.31427,0.88188,0.00225,0.001901,0.001901,0.001901
7,162.209,0.45186,0.38306,1.07814,0.01978,0.99902,1,0.995,0.98514,0.22371,0.21876,0.87319,0.00667,0.0018812,0.0018812,0.0018812
8,185.302,0.42295,0.36266,1.05049,0.0161,0.99964,1,0.995,0.98502,0.22005,0.23138,0.87204,0.00276,0.0018614,0.0018614,0.0018614
9,208.375,0.41565,0.35003,1.04199,0.01591,0.99962,1,0.995,0.99061,0.23643,0.21022,0.89132,0.00333,0.0018416,0.0018416,0.0018416
10,231.707,0.39363,0.32795,1.01544,0.01567,0.99773,1,0.995,0.98402,0.20381,0.19941,0.84933,0.00563,0.0018218,0.0018218,0.0018218
11,254.8,0.383,0.32274,1.01955,0.01407,0.99935,1,0.995,0.98733,0.20915,0.21724,0.8592,0.00594,0.001802,0.001802,0.001802
12,277.921,0.38646,0.32961,1.01788,0.0122,0.99955,1,0.995,0.98723,0.22416,0.18995,0.86071,0.00571,0.0017822,0.0017822,0.0017822
13,301.017,0.3847,0.31847,1.00352,0.01309,0.99878,1,0.995,0.97695,0.25519,0.24572,0.90013,0.00341,0.0017624,0.0017624,0.0017624
14,324.171,0.37025,0.30679,1.00682,0.0135,0.99798,1,0.995,0.98567,0.22196,0.24992,0.87043,0.00504,0.0017426,0.0017426,0.0017426
15,347.243,0.35933,0.30256,0.98889,0.01094,0.99699,1,0.995,0.9908,0.19602,0.16755,0.85906,0.00259,0.0017228,0.0017228,0.0017228
16,370.337,0.3775,0.30943,1.00278,0.01387,0.99882,1,0.995,0.99324,0.18225,0.21481,0.84714,0.00285,0.001703,0.001703,0.001703
17,393.426,0.35255,0.29807,0.98818,0.01091,0.99974,1,0.995,0.99186,0.17249,0.15045,0.83992,0.00156,0.0016832,0.0016832,0.0016832
18,416.502,0.34026,0.28915,0.97571,0.01076,0.99966,1,0.995,0.99129,0.1849,0.1582,0.84533,0.00212,0.0016634,0.0016634,0.0016634
19,439.578,0.3403,0.28417,0.95788,0.01171,0.99955,1,0.995,0.98953,0.19153,0.1603,0.84533,0.00297,0.0016436,0.0016436,0.0016436
20,462.657,0.33574,0.28106,0.97285,0.01128,0.998,1,0.995,0.9915,0.17943,0.15245,0.83862,0.00356,0.0016238,0.0016238,0.0016238
21,485.739,0.34229,0.28658,0.96776,0.01059,0.99881,1,0.995,0.9895,0.19379,0.16219,0.84506,0.00338,0.001604,0.001604,0.001604
22,508.84,0.35099,0.28313,0.97675,0.0114,0.99979,1,0.995,0.99169,0.17346,0.14166,0.83922,0.00328,0.0015842,0.0015842,0.0015842
23,531.913,0.3258,0.26957,0.95489,0.0097,0.99979,1,0.995,0.99312,0.17764,0.14389,0.85389,0.00151,0.0015644,0.0015644,0.0015644
24,555.074,0.32586,0.2728,0.94779,0.0093,0.99969,1,0.995,0.99145,0.17333,0.17236,0.83638,0.00245,0.0015446,0.0015446,0.0015446
